experiment,eval_idx,eval_prompt,truth,message_last,strict_correct,special_calls
14b-instruct + 4x7b-instruct,6,Convert the battery_module weight_per_unit_lb to kilograms and then multiply by the battery_module stock_units.,113.3980925,22.6796185,False,"{""unit-conversion-expert"":1,""calculator-expert"":1}"
14b-instruct + 4x7b-instruct,16,"Add the chip_module stock_units and the battery_module stock_units, then multiply that sum by 2.",340.0,600,False,"{""inventory-expert"":1,""calculator-expert"":1}"
14b-instruct + 4x7b-instruct,15,Convert the chip_module weight_per_unit_lb to kilograms and then multiply that by the latest closing price of TSLA.,131.81575709148,109.84637464,False,"{""unit-conversion-expert"":2,""stockmarket-expert"":1,""calculator-expert"":1}"
14b-instruct + 4x7b-instruct,23,What is the total EUR value of all chip_module units in stock plus all battery_module units in stock?,100000.0,0,False,"{""inventory-expert"":3}"
14b-instruct + 4x7b-instruct,27,Subtract the chip_module weight_per_unit_lb from the battery_module weight_per_unit_lb.,3.8,0.7,False,"{""inventory-expert"":1,""calculator-expert"":1}"
14b-instruct + 4x7b-instruct,28,Convert the battery_module weight_per_unit_lb and the chip_module weight_per_unit_lb to kilograms and then subtract the chip_module value from the battery_module value.,1.723651006,1.0886,False,"{""unit-conversion-expert"":2,""calculator-expert"":1}"
14b-instruct + 4x7b-instruct,30,"Take the latest closing price of TSLA, multiply by the tsla_shares_per_unit of chip_module, and then multiply by the battery_module stock_units.",605.425,12.1085,False,"{""stockmarket-expert"":1,""inventory-expert"":2,""calculator-expert"":2}"
7b-instruct + 4x3b-instruct,3,Take the base_price_eur of battery_module and multiply it by the battery_module stock_units.,40000.0,4500,False,{}
7b-instruct + 4x3b-instruct,1,Multiply the latest closing price of TSLA by the tsla_shares_per_unit value of chip_module.,12.1085,0,False,"{""stockmarket-expert"":1,""calculator-expert"":1}"
7b-instruct + 4x3b-instruct,5,Add the chip_module stock_units and the battery_module stock_units.,170.0,150,False,"{""inventory-expert"":2}"
7b-instruct + 4x3b-instruct,7,Convert the chip_module weight_per_unit_lb to kilograms.,0.544310844,2.20462,False,{}
7b-instruct + 4x3b-instruct,4,Take the base_price_eur of chip_module minus the base_price_eur of battery_module.,-300.0,5,False,"{""calculator-expert"":2}"
7b-instruct + 4x3b-instruct,0,What is the latest closing price of TSLA multiplied by the number of chip_module units in stock?,29060.4,820.5,False,"{""stockmarket-expert"":1,""inventory-expert"":1,""calculator-expert"":1}"
7b-instruct + 4x3b-instruct,6,Convert the battery_module weight_per_unit_lb to kilograms and then multiply by the battery_module stock_units.,113.3980925,453.59237,False,"{""unit-conversion-expert"":1,""calculator-expert"":1}"
7b-instruct + 4x3b-instruct,9,Convert 10 m/s to km/h and then divide that result by 2.,18.0,45,False,"{""unit-conversion_expert"":1}"
